"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_prot_cens",0.922833285344083,0.975114603798297,0.9388,4.26796630257432,3.28116195258045,3.96659625408619,0.454000000000008
2,"DFT-adaptive-T (Subgroup)","heavy_prot_cens",0.921969478836741,0.838244924688933,0.8964,4.23064468506838,5.69251816628828,4.67710084623294,70.0890000000004
3,"DFT-adaptive-CT (Subgroup)","heavy_prot_cens",0.921969478836741,0.860510805500982,0.9032,4.23064468506838,3.22553136333147,3.92368307660993,87.1259999999997
4,"DFT-fixed (Subgroup)","heavy_prot_cens",0.870429023898647,0.960707269155206,0.898,4.44034338218088,2.13193627232985,3.73535585083238,64.0969999999998
5,"Vanilla CQR (Subgroup)","heavy_prot_cens",0.907284768211921,0.992141453831041,0.9332,4.19709490368642,1.09215593653831,3.24884654311939,0.00999999999976353
6,"Cox (Subgroup)","heavy_prot_cens",0.937517995968903,0.912246234446627,0.9298,3.5290167524187,3.6958047795074,3.57995381589159,6.31800000000021
7,"DFT-adaptive-T (Joint)","heavy_prot_cens",0.930319608407717,0.863785199738048,0.91,4.20858309290506,5.18428096513861,4.50656122308519,153.489
8,"DFT-adaptive-CT (Joint)","heavy_prot_cens",0.928016124388137,0.920104780615586,0.9256,4.23192052644135,3.18056021079338,3.91083508604246,173.287
9,"DFT-fixed (Joint)","heavy_prot_cens",0.903253671177656,0.838899803536346,0.8836,4.22538219559598,5.13065043982138,4.50185111738242,151.42
10,"Vanilla CQR (Joint)","heavy_prot_cens",0.91073999424129,1,0.938,3.80435212968166,0.245347287431527,2.71743205085847,0.00500000000010914
11,"Cox (Joint)","heavy_prot_cens",0.93780593147135,0.934512115258677,0.9368,3.5691278737823,3.65810251241207,3.59630072841983,5.01400000000012
