"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.905875641756988,0.906961178045515,0.9062,4.40709751439348,2.86613146871472,3.94665685994467,0.625
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.879920136908157,0.921686746987952,0.8924,4.78758365219293,2.67784481345826,4.15719368717901,61.1680000000001
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.879920136908157,0.921686746987952,0.8924,4.78757124332933,2.67784481345826,4.15718498608385,82.4090000000002
4,"DFT-fixed (Subgroup)","cov_cens",0.906160867084997,0.919678714859438,0.9102,4.38291511686767,2.69398709982671,3.87826342537583,58.5289999999999
5,"Vanilla CQR (Subgroup)","cov_cens",0.930690245293782,0.93908969210174,0.9332,4.02850790146639,2.50940921477202,3.57460121388211,0.012000000000171
6,"Cox (Subgroup)","cov_cens",0.911294922989161,0.924364123159304,0.9152,3.99779216413839,2.414073407465,3.52457699964438,5.26099999999997
7,"DFT-adaptive-T (Joint)","cov_cens",0.903593839132915,0.905622489959839,0.9042,4.45872503733512,2.87795110913336,3.98638978758843,173.189
8,"DFT-adaptive-CT (Joint)","cov_cens",0.903593839132915,0.905622489959839,0.9042,4.45870385528133,2.87793743685828,3.98637084945652,194.509
9,"DFT-fixed (Joint)","cov_cens",0.903023388476897,0.876171352074967,0.895,4.30049257819511,2.96354676558027,3.9010131693858,172.053
10,"Vanilla CQR (Joint)","cov_cens",0.948659440958357,0.912985274431058,0.938,3.71410510416364,2.75756022488105,3.428289494234,0.00499999999999545
11,"Cox (Joint)","cov_cens",0.933827723901883,0.907630522088353,0.926,3.81849536263889,2.62165954812372,3.46088082126176,3.738
