"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_prot_cens",0.894751853964632,0.98661311914324,0.9222,4.48267830159233,2.78525878537595,3.97548935014688,0.470000000000027
2,"DFT-adaptive-T (Subgroup)","heavy_prot_cens",0.887050770108386,0.923694779116466,0.898,4.65278186454301,4.37304232231505,4.5691956893253,98.8699999999999
3,"DFT-adaptive-CT (Subgroup)","heavy_prot_cens",0.887050770108386,0.884203480589023,0.8862,4.65278186454301,3.24708094639754,4.23275843020114,113.543
4,"DFT-fixed (Subgroup)","heavy_prot_cens",0.868225898459783,0.940428380187416,0.8898,4.58860664962306,3.19051776211183,4.1708576900347,94.6389999999999
5,"Vanilla CQR (Subgroup)","heavy_prot_cens",0.91186537364518,0.994645247657296,0.9366,4.1088458607613,1.06221625975412,3.19851293598036,0.0109999999999673
6,"Cox (Subgroup)","heavy_prot_cens",0.933257273245864,0.905622489959839,0.925,3.5408535560817,4.18237234821346,3.73253937117067,6.39200000000005
7,"DFT-adaptive-T (Joint)","heavy_prot_cens",0.907016543069025,0.767737617135207,0.8654,4.34477854186202,6.1847816336579,4.89457146569063,119.573
8,"DFT-adaptive-CT (Joint)","heavy_prot_cens",0.906446092413006,0.893574297188755,0.9026,4.34924880820735,3.25766291237204,4.02308294253176,139.645
9,"DFT-fixed (Joint)","heavy_prot_cens",0.897318881916714,0.843373493975904,0.8812,4.30160858822979,5.34903124603481,4.61457847838193,118.47
10,"Vanilla CQR (Joint)","heavy_prot_cens",0.90530519110097,1,0.9336,3.63990576921451,0.343258016898811,2.65486742082258,0.00399999999990541
11,"Cox (Joint)","heavy_prot_cens",0.931831146605819,0.929718875502008,0.9312,3.58076925013098,3.83233894233294,3.65593827416092,4.94299999999998
