"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cens_misspec",0.898459783228751,0.913654618473896,0.903,4.77599907990131,2.99496224397977,4.24382527332795,0.80499999999995
2,"DFT-adaptive-T (Subgroup)","cens_misspec",0.916999429549344,0.899598393574297,0.9118,4.43488431329021,3.03612798953649,4.01693592375259,155.421000000001
3,"DFT-adaptive-CT (Subgroup)","cens_misspec",0.916999429549344,0.899598393574297,0.9118,4.43488431329021,3.03612798953649,4.01693592375259,174.714000000001
4,"DFT-fixed (Subgroup)","cens_misspec",0.904449515116942,0.903614457831325,0.9042,4.38991077427185,2.94532260008332,3.95826782782432,149.946000000001
5,"Vanilla CQR (Subgroup)","cens_misspec",0.912150598973189,0.913654618473896,0.9126,4.32859803138554,2.68929205608895,3.83877340596692,0.012000000000171
6,"Cox (Subgroup)","cens_misspec",0.931545921277809,0.934404283801874,0.9324,3.84251848846056,2.66339396044631,3.4901960794899,8.32699999999977
7,"DFT-adaptive-T (Joint)","cens_misspec",0.893610952652596,0.883534136546185,0.8906,4.84320967976003,3.2915398381859,4.37957073109768,224.46
8,"DFT-adaptive-CT (Joint)","cens_misspec",0.893610952652596,0.883534136546185,0.8906,4.84320967976003,3.2915398381859,4.37957073109768,240.621
9,"DFT-fixed (Joint)","cens_misspec",0.914717626925271,0.877510040160643,0.9036,4.26608654926683,2.99903152747225,3.8874905087546,222.881
10,"Vanilla CQR (Joint)","cens_misspec",0.91842555618939,0.909638554216867,0.9158,4.19448006634436,2.82163601430746,3.78427426359574,0.0100000000002183
11,"Cox (Joint)","cens_misspec",0.942669709070165,0.91231593038822,0.9336,3.8025127222304,2.66751892130184,3.46337657451294,5.7529999999997
