"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","surv_misspec",0.954983012457531,0.965940054495913,0.9582,4.13965043893058,2.79181879864731,3.74392706934341,0.537000000000006
2,"DFT-adaptive-T (Subgroup)","surv_misspec",0.898924122310306,0.911444141689373,0.9026,5.53767632599728,6.80600692581122,5.91005819010265,125.761
3,"DFT-adaptive-CT (Subgroup)","surv_misspec",0.900622876557191,0.916893732970027,0.9054,5.50962547476142,6.49302960466582,5.79835292730135,147.076
4,"DFT-fixed (Subgroup)","surv_misspec",0.94365798414496,0.944141689373297,0.9438,4.53547648009066,5.38546506298387,4.78503312802811,120.487
5,"Vanilla CQR (Subgroup)","surv_misspec",0.912514156285391,0.917574931880109,0.914,4.9415895142093,4.5654476668592,4.83115426782731,0.0100000000002183
6,"Cox (Subgroup)","surv_misspec",0.911381653454134,0.918937329700273,0.9136,5.28094184863146,5.51082967187582,5.348436913536,6.53499999999985
7,"DFT-adaptive-T (Joint)","surv_misspec",0.914779161947905,0.848773841961853,0.8954,5.15420222413507,4.90911424382785,5.08224439311687,135.627
8,"DFT-adaptive-CT (Joint)","surv_misspec",0.915062287655719,0.848773841961853,0.8956,5.14347684464905,4.89889886792375,5.0716687506825,158.161
9,"DFT-fixed (Joint)","surv_misspec",0.939411098527746,0.88283378746594,0.9228,4.49543369116304,4.44976442322734,4.48202519409712,132.493
10,"Vanilla CQR (Joint)","surv_misspec",0.919309173272933,0.895776566757493,0.9124,4.88548228604366,3.59447669784014,4.50644304534711,0.00399999999990541
11,"Cox (Joint)","surv_misspec",0.928652321630804,0.833106267029973,0.9006,4.86592831200983,4.66385289652982,4.8065989700249,3.98400000000015
