"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_prot_cens",0.92035910802201,0.984486102133161,0.9402,4.34277036331541,3.22078403336356,3.9956277928283,0.456000000000017
2,"DFT-adaptive-T (Subgroup)","heavy_prot_cens",0.899797277729511,1,0.9308,4.52956647586796,0,3.12811860823441,56.0579999999995
3,"DFT-adaptive-CT (Subgroup)","heavy_prot_cens",0.899797277729511,0.927601809954751,0.9084,4.52956647586796,2.85124839336412,4.01029486114127,70.3040000000001
4,"DFT-fixed (Subgroup)","heavy_prot_cens",0.931943237764263,0.940530058177117,0.9346,4.01306050805816,3.1847886016865,3.75679318022677,50.6529999999998
5,"Vanilla CQR (Subgroup)","heavy_prot_cens",0.898928467998842,0.995475113122172,0.9288,4.37237029135565,1.10901977105768,3.36268964037546,0.012000000000171
6,"Cox (Subgroup)","heavy_prot_cens",0.932232841007819,0.8939883645766,0.9204,3.83622347932499,4.13952404388457,3.93006467399973,7.3159999999998
7,"DFT-adaptive-T (Joint)","heavy_prot_cens",0.90616854908775,0.833872010342599,0.8838,4.58608840672168,5.61153163632735,4.90336054196168,152.082
8,"DFT-adaptive-CT (Joint)","heavy_prot_cens",0.900086880973067,0.925016160310278,0.9078,4.64092795983528,2.98952285433189,4.12998322019253,172.299
9,"DFT-fixed (Joint)","heavy_prot_cens",0.899218071242398,0.83322559793148,0.8788,4.33609365906637,5.33730991828321,4.64586996966806,149.418
10,"Vanilla CQR (Joint)","heavy_prot_cens",0.902693310165074,1,0.9328,3.86583850503254,0.099086048472271,2.7004052949728,0.00600000000031287
11,"Cox (Joint)","heavy_prot_cens",0.929916015059369,0.926955397543633,0.929,3.87952710091367,4.1295321545597,3.95687866451175,6.01299999999992
