"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","simul_misspec",0.903851723139299,0.935358758888171,0.9136,4.90987264893756,3.81216045656131,4.57024049661635,1.25400000000002
2,"DFT-adaptive-T (Subgroup)","simul_misspec",0.898059658268173,0.888817065287653,0.8952,4.95246269649913,5.47234677294983,5.11331482975297,144.75
3,"DFT-adaptive-CT (Subgroup)","simul_misspec",0.898059658268173,0.888817065287653,0.8952,4.95246269649913,5.47296796394512,5.11350702624692,168.262999999999
4,"DFT-fixed (Subgroup)","simul_misspec",0.916594265855778,0.992889463477699,0.9402,4.58822058035997,1.85522770911388,3.74263258599643,138.465999999999
5,"Vanilla CQR (Subgroup)","simul_misspec",0.913987836663771,0.955397543632838,0.9268,4.637407212283,3.35146871697062,4.23953784183335,0.011000000000422
6,"Cox (Subgroup)","simul_misspec",0.906458152331306,0.901745313510019,0.905,4.86178018306599,4.75959484838872,4.83016404051685,8.66699999999946
7,"DFT-adaptive-T (Joint)","simul_misspec",0.893715609614828,0.905623787976729,0.8974,5.0981346184093,4.51259205922929,4.91696775059901,268.154
8,"DFT-adaptive-CT (Joint)","simul_misspec",0.893715609614828,0.905623787976729,0.8974,5.09813589565036,4.51259318977375,4.91696898245214,290.917
9,"DFT-fixed (Joint)","simul_misspec",0.912539820445989,0.893341952165482,0.9066,4.73254638939065,4.55944460187422,4.67898869633307,264.977000000001
10,"Vanilla CQR (Joint)","simul_misspec",0.908774978279757,0.963154492566257,0.9256,4.74869678246333,3.08269071043378,4.23323450377739,0.00600000000031287
11,"Cox (Joint)","simul_misspec",0.907326962061975,0.890756302521008,0.9022,4.81009687736574,4.61692986172841,4.75033100272755,6.82099999999991
