"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_inter_cens",0.887407827566648,0.914518317503392,0.8954,4.73417729369982,4.43859812159817,4.64704055376426,0.629000000000019
2,"DFT-adaptive-T (Subgroup)","heavy_inter_cens",0.897334089619966,0.882632293080054,0.893,4.58288025735222,4.96133404286977,4.6944484333228,104.573
3,"DFT-adaptive-CT (Subgroup)","heavy_inter_cens",0.897334089619966,0.935549525101764,0.9086,4.58288025735222,2.83920714670238,4.06884542433265,127.649000000001
4,"DFT-fixed (Subgroup)","heavy_inter_cens",0.885706182643222,0.956580732700136,0.9066,4.37531655268413,3.79850550031464,4.2052726544456,96.4379999999983
5,"Vanilla CQR (Subgroup)","heavy_inter_cens",0.888825865002836,0.974219810040706,0.914,4.64688197687544,1.4808180070616,3.71352631857432,0.011000000002241
6,"Cox (Subgroup)","heavy_inter_cens",0.929381735677822,0.942333785617368,0.9332,3.80011650713137,3.87007291263004,3.82073965547238,12.770999999997
7,"DFT-adaptive-T (Joint)","heavy_inter_cens",0.894781622234827,0.923337856173677,0.9032,4.62704260702697,4.27772045654169,4.52406243706391,176.559999999998
8,"DFT-adaptive-CT (Joint)","heavy_inter_cens",0.893079977311401,0.937584803256445,0.9062,4.6569373031842,3.37212253216192,4.27817390868683,199.348000000002
9,"DFT-fixed (Joint)","heavy_inter_cens",0.903289846851957,0.881275440976934,0.8968,4.32166693044363,4.61328681109293,4.40763647125904,172.125999999997
10,"Vanilla CQR (Joint)","heavy_inter_cens",0.884004537719796,1,0.9182,4.3973618265045,-0.662973641833055,2.90557493043859,0.00800000000162981
11,"Cox (Joint)","heavy_inter_cens",0.934203062960862,0.943012211668928,0.9368,3.73251594641128,3.71515619216393,3.72739829085916,6.38999999999942
