"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","prot_cens",0.913450624290579,0.907181571815718,0.9116,4.40861659693088,2.66520194891983,3.89396059283802,0.468000000000018
2,"DFT-adaptive-T (Subgroup)","prot_cens",0.909761634506243,0.859756097560976,0.895,4.45812033206273,2.98942647990073,4.02456190690451,91.411000000001
3,"DFT-adaptive-CT (Subgroup)","prot_cens",0.909761634506243,0.861788617886179,0.8956,4.45812033206273,2.97592055260236,4.02057495716603,111.936
4,"DFT-fixed (Subgroup)","prot_cens",0.901532349602724,0.964769647696477,0.9202,4.32881739436687,2.21816559130307,3.70575298210243,83.7590000000009
5,"Vanilla CQR (Subgroup)","prot_cens",0.927355278093076,0.937669376693767,0.9304,4.13056013502076,1.83982757951926,3.45433588463672,0.00900000000001455
6,"Cox (Subgroup)","prot_cens",0.934449489216799,0.90650406504065,0.9262,3.67701856108782,2.47701867092787,3.3227785935126,8.32400000000052
7,"DFT-adaptive-T (Joint)","prot_cens",0.901816118047673,0.901761517615176,0.9018,4.55150057206707,2.71763369834911,4.01014307094553,122.522
8,"DFT-adaptive-CT (Joint)","prot_cens",0.901816118047673,0.901761517615176,0.9018,4.55150057206707,2.71763369834911,4.01014307094553,142.389999999999
9,"DFT-fixed (Joint)","prot_cens",0.907207718501703,0.86449864498645,0.8946,4.16177744153304,2.75137759788575,3.74542740768836,117.142
10,"Vanilla CQR (Joint)","prot_cens",0.914018161180477,0.991192411924119,0.9368,3.87635488625408,1.67094053500582,3.22531656976559,0.00499999999919964
11,"Cox (Joint)","prot_cens",0.942395005675369,0.899051490514905,0.9296,3.69548062243361,2.42945400905493,3.32174956616422,5.6230000000005
