"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","simul_misspec",0.920924921495861,0.919839679358717,0.9206,4.57307008929451,4.05914641044114,4.41920133984581,0.988
2,"DFT-adaptive-T (Subgroup)","simul_misspec",0.893519840137025,0.886439545758183,0.8914,5.31030702344062,5.31488980645349,5.31167910867468,162.753999999999
3,"DFT-adaptive-CT (Subgroup)","simul_misspec",0.893519840137025,0.886439545758183,0.8914,5.31030980987314,5.31347496837904,5.31125745832981,185.919999999998
4,"DFT-fixed (Subgroup)","simul_misspec",0.909220667998858,0.935203740814963,0.917,4.85466663010851,4.38133993335747,4.71295261710125,156.551999999998
5,"Vanilla CQR (Subgroup)","simul_misspec",0.90493862403654,0.953239812959252,0.9194,4.94399033497807,3.37165183419807,4.47323218784454,0.0130000000008295
6,"Cox (Subgroup)","simul_misspec",0.909506137596346,0.889779559118236,0.9036,4.90806304555023,4.84755179696949,4.88994597772516,8.4419999999991
7,"DFT-adaptive-T (Joint)","simul_misspec",0.904367684841564,0.867067468269873,0.8932,4.88302982770337,5.11418770681259,4.95223849670867,250.329
8,"DFT-adaptive-CT (Joint)","simul_misspec",0.904367684841564,0.867067468269873,0.8932,4.88302982770337,5.11418770681259,4.95223849670867,274.073000000002
9,"DFT-fixed (Joint)","simul_misspec",0.912075363973737,0.869071476285905,0.8992,4.84361006136102,4.9325505201343,4.87023883471774,245.52
10,"Vanilla CQR (Joint)","simul_misspec",0.910077076791322,0.95190380761523,0.9226,4.86832590023268,3.47198743696679,4.45026216433087,0.00900000000001455
11,"Cox (Joint)","simul_misspec",0.910648015986297,0.875083500334001,0.9,4.82105652039305,4.75744450745958,4.80201108372077,7.19900000000052
