"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_inter_cens",0.909626719056974,0.913013221990257,0.9106,4.43828533523198,4.5472704095222,4.46960764558299,0.467999999999961
2,"DFT-adaptive-T (Subgroup)","heavy_inter_cens",0.889138366545046,0.836464857341684,0.874,4.57496571229172,5.37485929185305,4.80485512705765,98.357
3,"DFT-adaptive-CT (Subgroup)","heavy_inter_cens",0.889138366545046,0.894224077940153,0.8906,4.57496571229172,3.20481707409807,4.18118499367487,118.226999999999
4,"DFT-fixed (Subgroup)","heavy_inter_cens",0.905416783609318,0.91231732776618,0.9074,4.18455535652608,4.14161668355736,4.17221478191487,90.6810000000005
5,"Vanilla CQR (Subgroup)","heavy_inter_cens",0.906258770698849,0.963117606123869,0.9226,4.30075423912352,1.46970258081838,3.48710999252662,0.00899999999819556
6,"Cox (Subgroup)","heavy_inter_cens",0.932921695200674,0.917188587334725,0.9284,3.67305916124084,4.18335804030972,3.81971905908524,9.76300000000083
7,"DFT-adaptive-T (Joint)","heavy_inter_cens",0.890261015997755,0.909533750869868,0.8958,4.62823214496012,4.55191994263784,4.6063000180127,65.5490000000009
8,"DFT-adaptive-CT (Joint)","heavy_inter_cens",0.889138366545046,0.931106471816284,0.9012,4.6380353555232,3.32007527859252,4.25925362941332,83.4530000000013
9,"DFT-fixed (Joint)","heavy_inter_cens",0.920291888857704,0.885873347251218,0.9104,4.14886589804383,4.69180173407863,4.30490565732023,62.8500000000004
10,"Vanilla CQR (Joint)","heavy_inter_cens",0.911591355599214,1,0.937,3.68903974548169,0.105022358789768,2.65899314854643,0.00599999999940337
11,"Cox (Joint)","heavy_inter_cens",0.931799045747965,0.926235212247738,0.9302,3.70213001007913,3.76459009479453,3.72008103842633,6.14500000000044
