"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","homo_cens",0.924764890282132,0.912810194500335,0.9212,4.1644918573379,2.58866240758835,3.69457951542259,0.506999999999998
2,"DFT-adaptive-T (Subgroup)","homo_cens",0.900826446280992,0.898725687458082,0.9002,4.52079577891871,2.68165218075613,3.97236315794663,59.3080000000009
3,"DFT-adaptive-CT (Subgroup)","homo_cens",0.900826446280992,0.898725687458082,0.9002,4.52079577891871,2.68165218075613,3.97236315794663,76.0640000000003
4,"DFT-fixed (Subgroup)","homo_cens",0.958962667426617,0.867203219315895,0.9316,3.86408207818932,2.58171546517967,3.48168035418984,50.8810000000003
5,"Vanilla CQR (Subgroup)","homo_cens",0.912225705329154,0.907444668008048,0.9108,4.15657324950288,2.60814034655256,3.69483055784309,0.0069999999996071
6,"Cox (Subgroup)","homo_cens",0.93872898261613,0.938967136150235,0.9388,3.86299708908789,2.15281931719666,3.35302207750992,11.192
7,"DFT-adaptive-T (Joint)","homo_cens",0.918495297805643,0.908115358819584,0.9154,4.33929040380769,2.65781736615785,3.83787514398051,194.859999999999
8,"DFT-adaptive-CT (Joint)","homo_cens",0.918495297805643,0.908115358819584,0.9154,4.33929040380769,2.65781736615785,3.83787514398051,212.767
9,"DFT-fixed (Joint)","homo_cens",0.913935594186378,0.902079141515761,0.9104,4.2524400273219,2.59748503131889,3.7589324475138,190.772000000001
10,"Vanilla CQR (Joint)","homo_cens",0.90567113137646,0.915492957746479,0.9086,4.17456899046901,2.54097018220019,3.68742982584325,0.00500000000010914
11,"Cox (Joint)","homo_cens",0.95212311199772,0.916834339369551,0.9416,3.64274103248925,2.3962526228833,3.27103818874476,5.88200000000052
