"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.925619834710744,0.910798122065728,0.9212,4.26377264777832,2.66777312241779,3.78784558931581,0.486000000000001
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.903106298090624,0.906103286384977,0.904,4.62032668190223,2.67084297252377,4.03899063976557,64.9879999999994
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.903106298090624,0.906103286384977,0.904,4.62032668190223,2.67084297252377,4.03899063976557,78.0659999999998
4,"DFT-fixed (Subgroup)","cov_cens",0.930179538330009,0.782696177062374,0.8862,4.24102322028657,3.14214310311692,3.91333716934658,51.7079999999987
5,"Vanilla CQR (Subgroup)","cov_cens",0.931889427187233,0.904091213950369,0.9236,4.05531766131714,2.65933245686536,3.63903487334962,0.00900000000001455
6,"Cox (Subgroup)","cov_cens",0.917355371900826,0.932930918846412,0.922,4.19128362224372,2.31982018893751,3.63321322643181,13.2250000000004
7,"DFT-adaptive-T (Joint)","cov_cens",0.911085779424337,0.914822266934943,0.9122,4.48222941711296,2.65889734076176,3.93851179194503,108.705999999999
8,"DFT-adaptive-CT (Joint)","cov_cens",0.911085779424337,0.914822266934943,0.9122,4.48222941711296,2.65889734076176,3.93851179194503,124.238
9,"DFT-fixed (Joint)","cov_cens",0.808777429467085,0.729040912139504,0.785,5.25537300506366,3.5363702872448,4.74276639461008,102.058
10,"Vanilla CQR (Joint)","cov_cens",0.932174408663437,0.901408450704225,0.923,4.00694391984635,2.61311944324607,3.59130546092415,0.00700000000051659
11,"Cox (Joint)","cov_cens",0.94015388999715,0.902079141515761,0.9288,3.9208909528324,2.59376866126293,3.52514308548638,7.17999999999938
