"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","surv_misspec",0.942525481313703,0.944822888283379,0.9432,4.44025389712275,3.48430563927167,4.15958748861768,0.725999999999999
2,"DFT-adaptive-T (Subgroup)","surv_misspec",0.890430351075878,0.89441416893733,0.8916,5.77276162810371,6.77989076593797,6.06845474297185,105.272
3,"DFT-adaptive-CT (Subgroup)","surv_misspec",0.890996602491506,0.899182561307902,0.8934,5.76844803045795,6.60503065215044,6.01406868818687,129.915
4,"DFT-fixed (Subgroup)","surv_misspec",0.988391845979615,0.921662125340599,0.9688,1.95382357561666,5.74155618381326,3.06590186938318,100.085
5,"Vanilla CQR (Subgroup)","surv_misspec",0.92440543601359,0.905313351498638,0.9188,4.95365789676699,4.60833994735111,4.85227254681849,0.00999999999976353
6,"Cox (Subgroup)","surv_misspec",0.896375990939977,0.913487738419619,0.9014,5.67529665661551,5.74379618232098,5.69540811736264,7.35800000000017
7,"DFT-adaptive-T (Joint)","surv_misspec",0.911664779161948,0.903269754768392,0.9092,5.19656886402515,4.25719726058379,4.92076936125477,203.402
8,"DFT-adaptive-CT (Joint)","surv_misspec",0.911664779161948,0.903269754768392,0.9092,5.19651982857494,4.25715708915726,4.92072292828191,226.307
9,"DFT-fixed (Joint)","surv_misspec",0.92836919592299,0.893732970027248,0.9182,4.83080838399491,4.26913434066502,4.66590088487325,200.985
10,"Vanilla CQR (Joint)","surv_misspec",0.934881087202718,0.905994550408719,0.9264,4.68749968765684,3.65424300490498,4.3841355256009,0.00500000000010914
11,"Cox (Joint)","surv_misspec",0.914779161947905,0.857629427792916,0.898,5.17773320477306,4.80055352161003,5.06699324979639,4.49499999999989
