"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","simul_misspec",0.913155631986242,0.945069490403706,0.9228,4.63478245269211,3.89153380098321,4.41017271014568,0.907000000000011
2,"DFT-adaptive-T (Subgroup)","simul_misspec",0.889653195758097,0.928524156187955,0.9014,5.25990679071747,5.07595773413352,5.2043173858178,108.288
3,"DFT-adaptive-CT (Subgroup)","simul_misspec",0.889653195758097,0.920582395764394,0.899,5.25990679071747,5.24641090496397,5.25582833404277,134.319999999998
4,"DFT-fixed (Subgroup)","simul_misspec",0.88993981083405,0.969556585043018,0.914,5.12343668394696,4.13141996860343,4.82364923257014,102.886000000002
5,"Vanilla CQR (Subgroup)","simul_misspec",0.903697334479794,0.968232958305758,0.9232,4.82708360248145,3.22950156711447,4.34429431139355,0.0119999999988067
6,"Cox (Subgroup)","simul_misspec",0.885927199770708,0.915949702183984,0.895,5.24591000213393,4.55306055713993,5.03653089985675,8.20499999999993
7,"DFT-adaptive-T (Joint)","simul_misspec",0.892232731441674,0.911317008603574,0.898,5.0614730266327,4.49154005481737,4.88923928255011,451.59
8,"DFT-adaptive-CT (Joint)","simul_misspec",0.893379191745486,0.911978821972204,0.899,5.04045609349831,4.47288967448228,4.86893752167167,475.558999999999
9,"DFT-fixed (Joint)","simul_misspec",0.902837489251935,0.882859033752482,0.8968,4.8978582272135,4.74446712407109,4.85150343584386,449.132
10,"Vanilla CQR (Joint)","simul_misspec",0.900831183720264,0.958305757776307,0.9182,4.94302066643324,3.32584980754832,4.45431163287822,0.00600000000122236
11,"Cox (Joint)","simul_misspec",0.900831183720264,0.888815354070152,0.8972,4.91996040280218,4.71474835815929,4.8579453229111,5.25900000000001
