"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","surv_misspec",0.959436133486766,0.955380577427822,0.9582,4.07225989591195,3.01647224291499,3.75045581927847,0.536999999999992
2,"DFT-adaptive-T (Subgroup)","surv_misspec",0.888089758342923,0.906167979002625,0.8936,5.66615333214411,6.70261792528448,5.9820677401333,93.0589999999993
3,"DFT-adaptive-CT (Subgroup)","surv_misspec",0.889528193325662,0.906167979002625,0.8946,5.6483208271232,6.63559357808329,5.94924156161583,121.173000000001
4,"DFT-fixed (Subgroup)","surv_misspec",0.902761795166859,0.92257217847769,0.9088,5.36542261722414,6.09839432688426,5.58883239432855,86.1649999999991
5,"Vanilla CQR (Subgroup)","surv_misspec",0.933256616800921,0.938976377952756,0.935,4.56424142778306,4.47807245622927,4.53797712525346,0.0129999999990105
6,"Cox (Subgroup)","surv_misspec",0.902761795166859,0.914698162729659,0.9064,5.42989480987347,5.72539556251671,5.51996343927913,8.77299999999923
7,"DFT-adaptive-T (Joint)","surv_misspec",0.918872266973533,0.875328083989501,0.9056,5.02191620150024,4.95408419173238,5.001241004923,259.348000000002
8,"DFT-adaptive-CT (Joint)","surv_misspec",0.918872266973533,0.875328083989501,0.9056,5.01928519674518,4.95148872447597,4.99862083199752,288.138999999999
9,"DFT-fixed (Joint)","surv_misspec",0.897583429228999,0.851706036745407,0.8836,5.46870178866229,5.02908307557556,5.33470600491345,255.284
10,"Vanilla CQR (Joint)","surv_misspec",0.939010356731876,0.905511811023622,0.9288,4.4632148620609,3.92264277301943,4.29844848932106,0.00799999999981083
11,"Cox (Joint)","surv_misspec",0.917433831990794,0.849081364829396,0.8966,5.12532549203776,4.86594248265941,5.04626555077924,6.53499999999985
