"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.90458767238953,0.878369039391845,0.897,4.33133839751843,2.97708370552444,3.93941708965537,0.643000000000001
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.895299746692936,0.865929509329648,0.8868,4.60870638023027,3.10540615042593,4.17365129372489,70.4160000000002
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.898958626512806,0.865929509329648,0.8894,4.55021299096087,3.10540615042593,4.13208589131006,84.0820000000003
4,"DFT-fixed (Subgroup)","cov_cens",0.906276386152547,0.908085694540428,0.9068,4.34271405486318,2.62234038602346,3.84483791510096,60.3560000000007
5,"Vanilla CQR (Subgroup)","cov_cens",0.931607092597805,0.916378714581894,0.9272,4.02434442889142,2.59203661471907,3.60983454746994,0.00799999999981083
6,"Cox (Subgroup)","cov_cens",0.91274978891078,0.907394609536973,0.9112,4.08038708945301,2.51261897459063,3.62667499701184,10.6189999999997
7,"DFT-adaptive-T (Joint)","cov_cens",0.89642555586828,0.904630269523151,0.8988,4.47354661006488,2.77280442500525,3.98135182170862,88.8319999999994
8,"DFT-adaptive-CT (Joint)","cov_cens",0.89642555586828,0.904630269523151,0.8988,4.47353374185791,2.77279644900223,3.98134036930548,106.359999999999
9,"DFT-fixed (Joint)","cov_cens",0.919786096256685,0.912923289564616,0.9178,4.23581730780134,2.73825349244184,3.8024223396363,83.3049999999994
10,"Vanilla CQR (Joint)","cov_cens",0.940050661412891,0.890117484450587,0.9256,3.79169626664373,2.93373297332112,3.54340168955617,0.00600000000031287
11,"Cox (Joint)","cov_cens",0.929074021953279,0.891499654457498,0.9182,3.86453495069885,2.69397510599382,3.52577493164121,6.64199999999983
