"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_inter_cens",0.905432029271039,0.899792674498963,0.9038,4.35234611913994,4.66634353083555,4.44321697008465,0.484000000000009
2,"DFT-adaptive-T (Subgroup)","heavy_inter_cens",0.906276386152547,0.867311679336558,0.895,4.44529676111275,4.93379843667333,4.58666914601998,60.5970000000007
3,"DFT-adaptive-CT (Subgroup)","heavy_inter_cens",0.906276386152547,0.91085003455425,0.9076,4.44529676111275,3.23567620041914,4.09523257084802,75.4949999999999
4,"DFT-fixed (Subgroup)","heavy_inter_cens",0.914438502673797,0.920525224602626,0.9162,4.06896357439209,4.19758805932393,4.10618750033136,52.4920000000002
5,"Vanilla CQR (Subgroup)","heavy_inter_cens",0.902617506332677,0.949550794747754,0.9162,4.21835432601632,1.49860899792762,3.43126002806745,0.0100000000002183
6,"Cox (Subgroup)","heavy_inter_cens",0.938361947649873,0.921216309606082,0.9334,3.58933678789503,3.74658987097568,3.63484583013857,11.8250000000007
7,"DFT-adaptive-T (Joint)","heavy_inter_cens",0.909935265972418,0.884588804422944,0.9026,4.29972824397143,4.89565050805216,4.47218814719639,145.178
8,"DFT-adaptive-CT (Joint)","heavy_inter_cens",0.909372361384745,0.922598479612992,0.9132,4.31587598252601,3.56997665598326,4.10001271742454,159.727
9,"DFT-fixed (Joint)","heavy_inter_cens",0.906557838446383,0.908776779543884,0.9072,4.14767569067718,4.34168591111884,4.203822248473,140.149
10,"Vanilla CQR (Joint)","heavy_inter_cens",0.911342527441599,1,0.937,3.46778761301835,0.605130537439922,2.63933465534595,0.00500000000010914
11,"Cox (Joint)","heavy_inter_cens",0.939769209119054,0.922598479612992,0.9348,3.52987218655643,3.89996424346832,3.63697682782673,6.22800000000007
