"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","prot_cens",0.897988505747126,0.940789473684211,0.911,4.6057518560396,2.34426349156824,3.91825939324031,0.61099999999999
2,"DFT-adaptive-T (Subgroup)","prot_cens",0.900862068965517,0.913815789473684,0.9048,4.53596753789358,2.6995996633441,3.97771170403054,78.9190000000008
3,"DFT-adaptive-CT (Subgroup)","prot_cens",0.900862068965517,0.913815789473684,0.9048,4.53594952869134,2.69959964645523,3.97769916449156,100.884000000003
4,"DFT-fixed (Subgroup)","prot_cens",0.891954022988506,0.878289473684211,0.8878,4.39463360264044,2.89338410844772,3.93825375640585,74.1800000000003
5,"Vanilla CQR (Subgroup)","prot_cens",0.892816091954023,0.941447368421053,0.9076,4.49348037316435,1.93785026277582,3.71656881960624,0.00799999999981083
6,"Cox (Subgroup)","prot_cens",0.936494252873563,0.891447368421053,0.9228,3.75030947366992,2.69862236284129,3.43059659197801,6.17900000000009
7,"DFT-adaptive-T (Joint)","prot_cens",0.875862068965517,0.859210526315789,0.8708,4.86347884272019,2.97694151355546,4.28997149465411,133.863
8,"DFT-adaptive-CT (Joint)","prot_cens",0.875862068965517,0.859210526315789,0.8708,4.86347884272019,2.97694151355546,4.28997149465411,157.011
9,"DFT-fixed (Joint)","prot_cens",0.901436781609195,0.890789473684211,0.8982,4.3564160139457,2.5898532237232,3.81938092571806,132.43
10,"Vanilla CQR (Joint)","prot_cens",0.872988505747126,0.984210526315789,0.9068,4.34027437868106,1.47783801046683,3.47009372274393,0.00500000000010914
11,"Cox (Joint)","prot_cens",0.943390804597701,0.890789473684211,0.9274,3.8215501968083,2.4341547740159,3.39978198827941,4.41199999999935
