"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.905459770114942,0.926973684210526,0.912,4.60080035747472,2.54434436268556,3.97563773505882,0.47399999999999
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.898563218390805,0.907236842105263,0.9012,4.64693715489569,2.6174469905644,4.02997214493898,51.4800000000005
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.898563218390805,0.907236842105263,0.9012,4.64693563031405,2.6174469905644,4.02997108383015,72.7750000000015
4,"DFT-fixed (Subgroup)","cov_cens",0.827011494252874,0.923026315789474,0.8562,5.0181343492672,2.55255915209362,4.26859948932643,46.9040000000005
5,"Vanilla CQR (Subgroup)","cov_cens",0.911494252873563,0.897368421052632,0.9072,4.35737965324383,2.71007952709955,3.85660041489597,0.00600000000031287
6,"Cox (Subgroup)","cov_cens",0.91551724137931,0.89671052631579,0.9098,4.18452466839282,2.51059753983919,3.67565082131252,6.85499999999956
7,"DFT-adaptive-T (Joint)","cov_cens",0.882758620689655,0.869736842105263,0.8788,4.9003719058407,2.98715235652818,4.31875316284969,152.063
8,"DFT-adaptive-CT (Joint)","cov_cens",0.882758620689655,0.869736842105263,0.8788,4.9003719058407,2.98715235652818,4.31875316284969,176.629000000001
9,"DFT-fixed (Joint)","cov_cens",0.972701149425287,0.969736842105263,0.9718,1.61735345820721,1.01757321521647,1.43502026433803,149.759000000001
10,"Vanilla CQR (Joint)","cov_cens",0.917241379310345,0.901315789473684,0.9124,4.23334554258888,2.68246045231645,3.76187647514607,0.00600000000031287
11,"Cox (Joint)","cov_cens",0.931034482758621,0.857894736842105,0.9088,4.04154417858658,2.71582399000196,3.63852524125686,4.19400000000041
