"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","simul_misspec",0.903216542217117,0.91501976284585,0.9068,5.0918934127119,4.45138994141567,4.89743655882636,0.861999999999995
2,"DFT-adaptive-T (Subgroup)","simul_misspec",0.892303273980471,0.894598155467721,0.893,5.15981606599715,5.8724765543102,5.37617979024899,184.781999999999
3,"DFT-adaptive-CT (Subgroup)","simul_misspec",0.892303273980471,0.894598155467721,0.893,5.15981606599715,5.8509388447259,5.3696409416192,208.987000000001
4,"DFT-fixed (Subgroup)","simul_misspec",0.910109132682366,0.919631093544137,0.913,4.80686997519954,4.91227823161641,4.8388719218477,177.744999999999
5,"Vanilla CQR (Subgroup)","simul_misspec",0.905801263641585,0.94532279314888,0.9178,4.99433572324226,3.73508998292293,4.61202871648131,0.0129999999990105
6,"Cox (Subgroup)","simul_misspec",0.889431361286617,0.895915678524374,0.8914,5.24114991667111,5.17202763568765,5.22016439216453,10.0349999999999
7,"DFT-adaptive-T (Joint)","simul_misspec",0.917001723147616,0.845191040843215,0.8952,4.80511834730027,5.8802071952454,5.13151532153641,161.598000000001
8,"DFT-adaptive-CT (Joint)","simul_misspec",0.917001723147616,0.845191040843215,0.8952,4.80511834730027,5.8802071952454,5.13151532153641,183.594
9,"DFT-fixed (Joint)","simul_misspec",0.899483055715106,0.847826086956522,0.8838,5.11910886481409,5.59312975302651,5.26302160647538,157.76
10,"Vanilla CQR (Joint)","simul_misspec",0.894600804135554,0.951251646903821,0.9118,5.18509244484419,3.53048981677075,4.68275508696109,0.00700000000051659
11,"Cox (Joint)","simul_misspec",0.905226881102814,0.878787878787879,0.8972,4.99624083965168,5.02504263012489,5.00498506323935,7.65999999999985
