"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","homo_cens",0.911629245826137,0.887287024901704,0.9042,4.38898506323887,2.81463888518003,3.90849460969531,0.481999999999999
2,"DFT-adaptive-T (Subgroup)","homo_cens",0.901554404145078,0.876146788990826,0.8938,4.49908204243074,2.9560241163923,4.02814076340381,52.966
3,"DFT-adaptive-CT (Subgroup)","homo_cens",0.901554404145078,0.876146788990826,0.8938,4.49908204243074,2.9560241163923,4.02814076340381,71.566
4,"DFT-fixed (Subgroup)","homo_cens",0.931778929188256,0.871559633027523,0.9134,3.99834574525108,2.76571475699477,3.62214676763526,48.708
5,"Vanilla CQR (Subgroup)","homo_cens",0.911341393206678,0.874180865006553,0.9,4.35822785453188,2.6698481042974,3.84293435476032,0.0229999999999961
6,"Cox (Subgroup)","homo_cens",0.940990213010938,0.90956749672346,0.9314,3.74958098316527,2.42156335645675,3.34427000349383,7.57400000000001
7,"DFT-adaptive-T (Joint)","homo_cens",0.89838802533103,0.884010484927916,0.894,4.51628578318157,2.84272327859762,4.00551450678255,119.36
8,"DFT-adaptive-CT (Joint)","homo_cens",0.89838802533103,0.884010484927916,0.894,4.51628578318157,2.84272327859762,4.00551450678255,142.968
9,"DFT-fixed (Joint)","homo_cens",0.932642487046632,0.895150720838794,0.9212,4.02008725279009,2.65341542096181,3.6029790097161,123.42
10,"Vanilla CQR (Joint)","homo_cens",0.907599309153713,0.911533420707733,0.9088,4.29631639642279,2.65418297105265,3.79513727499982,0.0270000000000152
11,"Cox (Joint)","homo_cens",0.947898675877951,0.895150720838794,0.9318,3.70169775482396,2.50154052762834,3.33540976908385,2.60299999999998
