"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","surv_misspec",0.955670696603339,0.956749672346003,0.956,4.16033152770184,2.96935882199446,3.79684665791995,0.52000000000001
2,"DFT-adaptive-T (Subgroup)","surv_misspec",0.912780656303972,0.916120576671035,0.9138,5.34661417249762,6.18263343594916,5.60176725170303,92.9260000000002
3,"DFT-adaptive-CT (Subgroup)","surv_misspec",0.912780656303972,0.914154652686763,0.9132,5.34661861075535,6.22587285734562,5.6149670068147,110.369
4,"DFT-fixed (Subgroup)","surv_misspec",0.913068508923431,0.934469200524246,0.9196,5.33686472367138,5.82692346232409,5.48643065070819,84.6090000000002
5,"Vanilla CQR (Subgroup)","surv_misspec",0.919976971790443,0.913499344692005,0.918,4.98263899460791,4.40286040578367,4.80569056929875,0.0110000000001946
6,"Cox (Subgroup)","surv_misspec",0.902993667242372,0.918741808650065,0.9078,5.53318381390114,5.51082252462499,5.52635914841405,10.1949999999999
7,"DFT-adaptive-T (Joint)","surv_misspec",0.911053540587219,0.823722149410223,0.8844,5.34212688036819,5.532871362364,5.40034209627331,254.506
8,"DFT-adaptive-CT (Joint)","surv_misspec",0.911053540587219,0.823722149410223,0.8844,5.3420723687262,5.53281490434464,5.40028699059695,275.645
9,"DFT-fixed (Joint)","surv_misspec",0.917962003454231,0.8564875491481,0.8992,5.15044746207761,4.77896682408584,5.03707157136252,250.591
10,"Vanilla CQR (Joint)","surv_misspec",0.929476108232585,0.892529488859764,0.9182,4.78777933187257,3.74882609737681,4.47069080470446,0.00500000000010914
11,"Cox (Joint)","surv_misspec",0.916234887737478,0.825688073394495,0.8886,5.22647009689212,5.13047006505765,5.19717088717624,4.85099999999989
