"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","homo_cens",0.900675295441756,0.91701244813278,0.9054,4.58326496389881,2.53662114492735,3.99137557145227,0.460000000000036
2,"DFT-adaptive-T (Subgroup)","homo_cens",0.892234102419809,0.912863070539419,0.8982,4.71123536464462,2.62618811411668,4.10823969979194,71.5359999999999
3,"DFT-adaptive-CT (Subgroup)","homo_cens",0.892234102419809,0.912863070539419,0.8982,4.71123536464462,2.62618811411668,4.10823969979194,92.392
4,"DFT-fixed (Subgroup)","homo_cens",0.885199774901519,0.916320885200553,0.8942,4.42017326581172,2.44833607812124,3.84991795113163,67.2599999999999
5,"Vanilla CQR (Subgroup)","homo_cens",0.901800787844682,0.894882434301521,0.8998,4.47921013861292,2.62982797028289,3.94436881553187,0.00800000000000978
6,"Cox (Subgroup)","homo_cens",0.932189082723692,0.941908713692946,0.935,3.79886297745225,2.26295495502782,3.3546783773671,3.93799999999999
7,"DFT-adaptive-T (Joint)","homo_cens",0.891671356218345,0.903181189488243,0.895,4.74008708654593,2.68507007524345,4.14577616687726,126.241
8,"DFT-adaptive-CT (Joint)","homo_cens",0.891671356218345,0.903181189488243,0.895,4.74008708654593,2.68507007524345,4.14577616687726,151.362
9,"DFT-fixed (Joint)","homo_cens",0.919527293190771,0.897648686030429,0.9132,4.0538189147839,2.54369628778639,3.61709145105622,128.019
10,"Vanilla CQR (Joint)","homo_cens",0.895329206527856,0.931535269709544,0.9058,4.39093330409561,2.44436410159104,3.82798549073129,0.0219999999999914
11,"Cox (Joint)","homo_cens",0.943444006752954,0.915629322268326,0.9354,3.75138022707255,2.36403917709671,3.35016119541953,1.84999999999999
