"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.919034090909091,0.911486486486486,0.9168,4.37120260560849,2.63180268204374,3.85634022823333,0.626000000000005
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.902840909090909,0.925675675675676,0.9096,4.81340116769341,2.50740253000612,4.13082557093797,62.0390000000007
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.902840909090909,0.925675675675676,0.9096,4.81340116769341,2.50741971806189,4.13083065860248,85.443000000002
4,"DFT-fixed (Subgroup)","cov_cens",0.976988636363636,0.896621621621622,0.9532,1.85140054093044,2.6612755227458,2.09112353554779,55.1360000000013
5,"Vanilla CQR (Subgroup)","cov_cens",0.931818181818182,0.924324324324324,0.9296,4.10150595463106,2.44688193020763,3.61173724340173,0.0069999999996071
6,"Cox (Subgroup)","cov_cens",0.912784090909091,0.927702702702703,0.9172,4.19540859007628,2.38820815014225,3.66047725985581,7.71599999999944
7,"DFT-adaptive-T (Joint)","cov_cens",0.912215909090909,0.906756756756757,0.9106,4.47141179848473,2.70842236517207,3.94956692622418,201.21
8,"DFT-adaptive-CT (Joint)","cov_cens",0.912215909090909,0.906756756756757,0.9106,4.47141179848473,2.70842236517207,3.94956692622418,226.268
9,"DFT-fixed (Joint)","cov_cens",0.899715909090909,0.858108108108108,0.8874,4.50506900676986,2.93343118469954,4.03986421143704,199.950000000001
10,"Vanilla CQR (Joint)","cov_cens",0.936079545454545,0.905405405405405,0.927,4.05289410239768,2.57792470612499,3.61630316110097,0.00399999999990541
11,"Cox (Joint)","cov_cens",0.936079545454545,0.884459459459459,0.9208,3.93016209761178,2.70384403557251,3.56717195124816,5.1260000000002
