"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","homo_cens",0.919034090909091,0.921621621621622,0.9198,4.28285967571916,2.51279409987036,3.75892026526792,0.491000000000014
2,"DFT-adaptive-T (Subgroup)","homo_cens",0.894318181818182,0.921621621621622,0.9024,4.69661317193102,2.59122703072511,4.07341887413407,76.6549999999997
3,"DFT-adaptive-CT (Subgroup)","homo_cens",0.894318181818182,0.921621621621622,0.9024,4.69661317193102,2.59122703072511,4.07341887413407,99.9229999999998
4,"DFT-fixed (Subgroup)","homo_cens",0.877840909090909,0.931081081081081,0.8936,4.65502416983751,2.41465946390398,3.99187621688119,69.9779999999992
5,"Vanilla CQR (Subgroup)","homo_cens",0.91875,0.903378378378378,0.9142,4.23288528687091,2.56902344141346,3.74038218061551,0.0100000000002183
6,"Cox (Subgroup)","homo_cens",0.921306818181818,0.932432432432432,0.9246,3.92092478340041,2.29108141845086,3.43849114737534,8.02000000000044
7,"DFT-adaptive-T (Joint)","homo_cens",0.910227272727273,0.9,0.9072,4.47298762182758,2.74910861966519,3.96271943718752,112.058
8,"DFT-adaptive-CT (Joint)","homo_cens",0.910227272727273,0.9,0.9072,4.47298762182758,2.74910861966519,3.96271943718752,135.679999999999
9,"DFT-fixed (Joint)","homo_cens",0.907386363636364,0.876351351351351,0.8982,4.24856632643279,2.75364645206741,3.80607004362064,107.906999999999
10,"Vanilla CQR (Joint)","homo_cens",0.906818181818182,0.92972972972973,0.9136,4.22615348589764,2.37170458688456,3.67723661178977,0.00399999999990541
11,"Cox (Joint)","homo_cens",0.944318181818182,0.896621621621622,0.9302,3.7441119117129,2.54489956601594,3.3891450573866,5.17800000000079
