"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cens_misspec",0.886403253922138,0.863286264441592,0.8792,4.93640111182964,3.30766480745861,4.42888687938763,1.125
2,"DFT-adaptive-T (Subgroup)","cens_misspec",0.887274840209181,0.937740693196406,0.903,4.95347068540503,2.68674904367687,4.24716022184253,144.938
3,"DFT-adaptive-CT (Subgroup)","cens_misspec",0.887274840209181,0.937740693196406,0.903,4.95347068540503,2.68674904367687,4.24716022184253,157.14
4,"DFT-fixed (Subgroup)","cens_misspec",0.910226612434631,0.983311938382542,0.933,4.41204289044634,1.02715395127248,3.35731149699976,136.161999999999
5,"Vanilla CQR (Subgroup)","cens_misspec",0.890180127832655,0.906931964056483,0.8954,4.46447104384111,2.69706923505242,3.91374864022255,0.00999999999976353
6,"Cox (Subgroup)","cens_misspec",0.933178384660081,0.917843388960205,0.9284,3.93918005369818,2.43654209881865,3.47095806695772,9.06700000000001
7,"DFT-adaptive-T (Joint)","cens_misspec",0.891342242882045,0.901797175866496,0.8946,4.7571656861625,2.93711310154207,4.19003730079478,303.307
8,"DFT-adaptive-CT (Joint)","cens_misspec",0.891342242882045,0.901797175866496,0.8946,4.7571656861625,2.93711310154207,4.19003730079478,318.467
9,"DFT-fixed (Joint)","cens_misspec",0.965717606042998,0.947368421052632,0.96,3.48138115903606,2.441480418101,3.1573480881607,300.738
10,"Vanilla CQR (Joint)","cens_misspec",0.885531667635096,0.910141206675225,0.8932,4.46335045011463,2.76644889594441,3.93459592583519,0.0100000000002183
11,"Cox (Joint)","cens_misspec",0.946542707728065,0.89987163029525,0.932,3.77847700617012,2.60107629122457,3.41159894339309,6.92799999999988
