"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","simul_misspec",0.901510749564207,0.949935815147625,0.9166,5.02108554351008,3.41237635099366,4.51981175912196,1.226
2,"DFT-adaptive-T (Subgroup)","simul_misspec",0.884079023823359,0.95186136071887,0.9052,5.30538826428184,3.97482309203539,4.89078415660985,166.837
3,"DFT-adaptive-CT (Subgroup)","simul_misspec",0.884079023823359,0.95186136071887,0.9052,5.3053949474177,3.97482923805734,4.89079067238101,183.425
4,"DFT-fixed (Subgroup)","simul_misspec",0.927948866937827,0.962130937098845,0.9386,4.42382695015813,3.7853001713393,4.22486200587818,156.646
5,"Vanilla CQR (Subgroup)","simul_misspec",0.904706565950029,0.9602053915276,0.922,4.8764728529059,3.07680851428849,4.31569744499272,0.0130000000003747
6,"Cox (Subgroup)","simul_misspec",0.89889599070308,0.926829268292683,0.9076,5.01979524014734,4.4435654232479,4.84024202920147,11.5259999999998
7,"DFT-adaptive-T (Joint)","simul_misspec",0.909064497385241,0.918485237483954,0.912,4.79413816689215,4.28915934786603,4.63678676688361,337.498
8,"DFT-adaptive-CT (Joint)","simul_misspec",0.909064497385241,0.918485237483954,0.912,4.79413816689215,4.28915934786603,4.63678676688361,357.047
9,"DFT-fixed (Joint)","simul_misspec",0.921266705403835,0.928754813863928,0.9236,4.54688143457892,4.0209824836299,4.38301132146321,331.683
10,"Vanilla CQR (Joint)","simul_misspec",0.899767576990122,0.975609756097561,0.9234,4.99379580915809,2.74820546517718,4.29406985797364,0.00900000000001455
11,"Cox (Joint)","simul_misspec",0.907902382335851,0.905006418485237,0.907,4.82455532917802,4.62301809666771,4.76175632752781,6.65999999999985
