"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_inter_cens",0.906195715112913,0.90620957309185,0.9062,4.40860143224053,4.43358680341861,4.41632690900879,1.163
2,"DFT-adaptive-T (Subgroup)","heavy_inter_cens",0.917776491024899,0.939844760672704,0.9246,4.25611122123431,3.79572175863807,4.11375879939955,91.5879999999997
3,"DFT-adaptive-CT (Subgroup)","heavy_inter_cens",0.917776491024899,0.936610608020699,0.9236,4.25611122123431,2.74674875081887,3.78941634538185,104.625
4,"DFT-fixed (Subgroup)","heavy_inter_cens",0.886508396062536,0.852522639068564,0.876,4.39766034382926,5.41104215691135,4.71099800043424,81.0500000000011
5,"Vanilla CQR (Subgroup)","heavy_inter_cens",0.914012738853503,0.972833117723157,0.9322,4.24896023805241,1.34127577411662,3.34990420180347,0.00799999999981083
6,"Cox (Subgroup)","heavy_inter_cens",0.946149392009265,0.9372574385511,0.9434,3.54987734247201,3.58938897857845,3.56209434035612,11.7829999999994
7,"DFT-adaptive-T (Joint)","heavy_inter_cens",0.90040532715692,0.909443725743855,0.9032,4.52288409248208,4.46675040305824,4.50552755571223,163.763000000001
8,"DFT-adaptive-CT (Joint)","heavy_inter_cens",0.90040532715692,0.932082794307891,0.9102,4.52424401557287,3.31801344332965,4.15127752263527,178.213
9,"DFT-fixed (Joint)","heavy_inter_cens",0.917486971627099,0.94372574385511,0.9256,4.07735652700562,3.64987927670058,3.9451805612113,158.044000000002
10,"Vanilla CQR (Joint)","heavy_inter_cens",0.9169079328315,1,0.9426,3.83175168085433,-0.415662165837534,2.5184513194572,0.00399999999899592
11,"Cox (Joint)","heavy_inter_cens",0.945280833815866,0.947606727037516,0.946,3.54497969033725,3.45400079673486,3.51684901643539,7.47000000000116
