"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","surv_misspec",0.955688965122927,0.958721704394141,0.9566,4.1741486734955,2.90168515285807,3.79190063189602,0.530999999999992
2,"DFT-adaptive-T (Subgroup)","surv_misspec",0.881074899942825,0.874167776298269,0.879,5.90588535766581,6.99559299586456,6.23323353218071,142.660999999998
3,"DFT-adaptive-CT (Subgroup)","surv_misspec",0.881074899942825,0.874167776298269,0.879,5.90386041851808,6.92770672552514,6.211423849143,170.724
4,"DFT-fixed (Subgroup)","surv_misspec",0.930245854774157,0.958721704394141,0.9388,4.95759990458691,2.68134239902873,4.27381214991723,135.252999999999
5,"Vanilla CQR (Subgroup)","surv_misspec",0.926815323041738,0.930093209054594,0.9278,4.87396923222158,4.25356226377488,4.6875989789002,0.0139999999992142
6,"Cox (Subgroup)","surv_misspec",0.897369925671813,0.913448735019973,0.9022,5.55373908164281,6.12498262816262,5.72534064301737,10.6779999999999
7,"DFT-adaptive-T (Joint)","surv_misspec",0.920240137221269,0.865512649800266,0.9038,5.14012236020823,4.791983678391,5.03554150019034,180.974000000002
8,"DFT-adaptive-CT (Joint)","surv_misspec",0.920240137221269,0.865512649800266,0.9038,5.13653680464422,4.78864097124579,5.03202889629133,202.649000000001
9,"DFT-fixed (Joint)","surv_misspec",0.951686678101772,0.878162450066578,0.9296,4.36811995959659,4.53300323616997,4.41765089587923,177.086000000001
10,"Vanilla CQR (Joint)","surv_misspec",0.930531732418525,0.910119840213049,0.9244,4.73155952611959,3.5915973383823,4.38911488492331,0.00600000000122236
11,"Cox (Joint)","surv_misspec",0.921955403087479,0.844873501997337,0.8988,5.0654767613403,5.00611128858174,5.04764337332363,7.76800000000003
