"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.892898052691867,0.905835543766578,0.8968,4.61768135169447,2.71477047996513,4.0437634327809,0.692000000000007
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.893184421534937,0.9157824933687,0.9,4.47127222542243,2.77846987006382,3.96072303504627,56.1679999999978
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.893470790378007,0.9157824933687,0.9002,4.46526686074877,2.77846987006382,3.95652888835819,70.2039999999997
4,"DFT-fixed (Subgroup)","cov_cens",0.857101947308133,0.918435013262599,0.8756,4.80384687271356,2.59177858362557,4.13668707672462,43.7259999999987
5,"Vanilla CQR (Subgroup)","cov_cens",0.90922107674685,0.93236074270557,0.9162,4.35357243529652,2.49235493336396,3.79222923671366,0.00799999999981083
6,"Cox (Subgroup)","cov_cens",0.901489117983963,0.937665782493369,0.9124,4.25049453030581,2.33890889133252,3.67396030159147,12.0280000000002
7,"DFT-adaptive-T (Joint)","cov_cens",0.894329896907217,0.894562334217507,0.8944,4.60572819085174,2.8381884013303,4.07263819033207,87.7970000000005
8,"DFT-adaptive-CT (Joint)","cov_cens",0.894329896907217,0.894562334217507,0.8944,4.60571970243905,2.83818317051479,4.0726306844107,108.467999999999
9,"DFT-fixed (Joint)","cov_cens",0.912371134020619,0.887267904509284,0.9048,4.35688114157572,2.86335300086665,3.90643305433787,84.4169999999995
10,"Vanilla CQR (Joint)","cov_cens",0.918098510882016,0.925729442970822,0.9204,4.18169943848058,2.42009935964414,3.65040085470351,0.00600000000122236
11,"Cox (Joint)","cov_cens",0.929839633447881,0.90053050397878,0.921,3.96338119035707,2.61197565944871,3.55579728223511,7.04799999999886
