"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","heavy_prot_cens",0.893501288290868,0.994691439946914,0.924,4.59354817228084,2.42589763419742,3.9402183001025,0.697000000000003
2,"DFT-adaptive-T (Subgroup)","heavy_prot_cens",0.898940738620097,1,0.9294,4.58011153812531,0,3.19966592053434,86.4979999999978
3,"DFT-adaptive-CT (Subgroup)","heavy_prot_cens",0.898940738620097,0.965494359654944,0.919,4.58011153812531,2.74609116878973,4.02733779880757,105.429000000002
4,"DFT-fixed (Subgroup)","heavy_prot_cens",0.887489264242771,0.953550099535501,0.9074,4.44743140329034,2.49102603973681,3.85777082671531,79.8769999999986
5,"Vanilla CQR (Subgroup)","heavy_prot_cens",0.898940738620097,0.998009289980093,0.9288,4.4894188615141,1.02443129372306,3.44507160858188,0.00700000000142609
6,"Cox (Subgroup)","heavy_prot_cens",0.918121958202119,0.921698739216987,0.9192,3.85926767156487,4.08347744625562,3.92684449765666,9.48300000000017
7,"DFT-adaptive-T (Joint)","heavy_prot_cens",0.902376180933295,0.918380889183809,0.9072,4.50651211803315,4.19346601673441,4.41216002310171,198.026000000002
8,"DFT-adaptive-CT (Joint)","heavy_prot_cens",0.898654451760664,0.949568679495687,0.914,4.53530859338945,3.00484298309861,4.07402625844779,216.728000000003
9,"DFT-fixed (Joint)","heavy_prot_cens",0.900372172917263,0.917717319177173,0.9056,4.43918799604993,4.18262788658612,4.36186077905754,194.983
10,"Vanilla CQR (Joint)","heavy_prot_cens",0.892069853993702,1,0.9246,4.03649311433272,-0.0647968875256228,2.80036430777261,0.00400000000081491
11,"Cox (Joint)","heavy_prot_cens",0.916976810764386,0.948905109489051,0.9266,3.90195162801518,3.32662860633245,3.72854926928001,5.53499999999985
