"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","prot_cens",0.924061433447099,0.94811320754717,0.9312,4.27436984614541,2.44416382210978,3.73116469821163,0.481999999999999
2,"DFT-adaptive-T (Subgroup)","prot_cens",0.909556313993174,0.942048517520216,0.9192,4.57434774982383,2.47879445874038,3.95238753303026,58.3119999999998
3,"DFT-adaptive-CT (Subgroup)","prot_cens",0.909556313993174,0.942048517520216,0.9192,4.57434774982383,2.47879445874038,3.95238753303026,78.5389999999999
4,"DFT-fixed (Subgroup)","prot_cens",0.90415244596132,0.852425876010782,0.8888,4.38529339511341,2.9508963130213,3.95956434114847,54.2789999999999
5,"Vanilla CQR (Subgroup)","prot_cens",0.91353811149033,0.962264150943396,0.928,4.32585637939354,1.89394642692347,3.60406550550043,0.00799999999992451
6,"Cox (Subgroup)","prot_cens",0.946245733788396,0.940700808625337,0.9446,3.71949419614606,2.52132883824678,3.36387871792155,4.80700000000002
7,"DFT-adaptive-T (Joint)","prot_cens",0.908703071672355,0.890835579514825,0.9034,4.46428382805965,2.84726281252962,3.98435199065034,173.636
8,"DFT-adaptive-CT (Joint)","prot_cens",0.908703071672355,0.890835579514825,0.9034,4.46428382805965,2.84726281252962,3.98435199065034,196.088
9,"DFT-fixed (Joint)","prot_cens",0.899601820250284,0.880727762803235,0.894,4.39907509761949,2.79466386544371,3.92288584390972,171.734
10,"Vanilla CQR (Joint)","prot_cens",0.924061433447099,0.98989218328841,0.9436,3.92088344407901,1.45116298561625,3.18787041200726,0.00399999999990541
11,"Cox (Joint)","prot_cens",0.953356086461889,0.931940700808625,0.947,3.73100116722051,2.41863661338459,3.34149136764201,3.28399999999999
