"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","prot_cens",0.908098793796669,0.895915678524374,0.9044,4.56582190021846,2.56654631700184,3.9588418331539,0.634999999999991
2,"DFT-adaptive-T (Subgroup)","prot_cens",0.906950028719127,0.872859025032938,0.8966,4.56913500374597,2.81613322263216,4.03692366299981,146.465
3,"DFT-adaptive-CT (Subgroup)","prot_cens",0.906950028719127,0.874835309617918,0.8972,4.56912730085487,2.76688414993143,4.02196628023452,171.465999999997
4,"DFT-fixed (Subgroup)","prot_cens",0.902642159678346,0.876152832674572,0.8946,4.31884364770643,2.54417542114756,3.78005437412316,140.120000000003
5,"Vanilla CQR (Subgroup)","prot_cens",0.894600804135554,0.933465085638999,0.9064,4.45980863480003,1.90533700815914,3.68427104895186,0.00799999999799184
6,"Cox (Subgroup)","prot_cens",0.937966685812751,0.897233201581028,0.9256,3.74046288282067,2.42186592812123,3.34013684737392,9.45400000000154
7,"DFT-adaptive-T (Joint)","prot_cens",0.899195864445721,0.86429512516469,0.8886,4.62015470661066,2.79178502330282,4.0650616707584,350.442999999999
8,"DFT-adaptive-CT (Joint)","prot_cens",0.899195864445721,0.86429512516469,0.8886,4.62015470661066,2.79178502330282,4.0650616707584,374.824000000004
9,"DFT-fixed (Joint)","prot_cens",0.890580126364159,0.837285902503294,0.8744,4.40839961959452,2.77783853775651,3.9133612751485,347.898000000001
10,"Vanilla CQR (Joint)","prot_cens",0.906662837449742,0.978260869565217,0.9284,3.89795391492905,1.81280079996207,3.26490142922507,0.00500000000101863
11,"Cox (Joint)","prot_cens",0.947156806433084,0.884057971014493,0.928,3.73652994031799,2.38390668477651,3.3258735199356,6.10900000000038
