"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.91614014933946,0.888010540184453,0.9076,4.44937440988068,2.70104095757168,3.91858037375967,0.471000000000004
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.900631820792648,0.868247694334651,0.8908,4.60389872809543,2.85976190129982,4.07437878748029,157.238000000001
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.900631820792648,0.868247694334651,0.8908,4.60389872809543,2.85976190129982,4.07437878748029,179.642999999996
4,"DFT-fixed (Subgroup)","cov_cens",0.888569787478461,0.899868247694335,0.892,4.57034512812719,2.38868763795498,3.9079939141109,150.950999999997
5,"Vanilla CQR (Subgroup)","cov_cens",0.92676622630672,0.879446640316206,0.9124,4.24804478793652,2.69413726962643,3.77627846537757,0.00700000000142609
6,"Cox (Subgroup)","cov_cens",0.912693854106835,0.899868247694335,0.9088,4.14756487172666,2.32739414616317,3.59496103944559,7.6339999999982
7,"DFT-adaptive-T (Joint)","cov_cens",0.900631820792648,0.870223978919631,0.8914,4.75539548309195,2.84173188433803,4.17440721451026,181.973999999998
8,"DFT-adaptive-CT (Joint)","cov_cens",0.900631820792648,0.870223978919631,0.8914,4.75539548309195,2.84173188433803,4.17440721451026,204.649000000001
9,"DFT-fixed (Joint)","cov_cens",0.872199885123492,0.808959156785244,0.853,4.63952540120194,2.91202600966663,4.11505658593182,180.044999999998
10,"Vanilla CQR (Joint)","cov_cens",0.934233199310741,0.894598155467721,0.9222,4.05222841677619,2.58774587606122,3.60761151741513,0.00500000000101863
11,"Cox (Joint)","cov_cens",0.939402642159678,0.86429512516469,0.9166,3.88692538619996,2.54332220002464,3.47900745887714,5.85099999999875
