"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","homo_cens",0.909821941412981,0.880764163372859,0.901,4.53829762413995,2.69534862534527,3.97877830810589,0.482999999999976
2,"DFT-adaptive-T (Subgroup)","homo_cens",0.906950028719127,0.870882740447958,0.896,4.56913500374597,2.74830456744431,4.01633088328478,139.213000000003
3,"DFT-adaptive-CT (Subgroup)","homo_cens",0.906950028719127,0.870882740447958,0.896,4.56912730085487,2.74830456744431,4.01632551899143,164.017
4,"DFT-fixed (Subgroup)","homo_cens",0.902642159678346,0.876152832674572,0.8946,4.31884364770643,2.45163602178812,3.75195941247763,132.894000000004
5,"Vanilla CQR (Subgroup)","homo_cens",0.894600804135554,0.864953886693017,0.8856,4.45980863480003,2.7697833916453,3.94671697097826,0.00799999999799184
6,"Cox (Subgroup)","homo_cens",0.937966685812751,0.914361001317523,0.9308,3.74046288282067,2.12224787626277,3.24917280682969,9.21199999999953
7,"DFT-adaptive-T (Joint)","homo_cens",0.911545089029294,0.866271409749671,0.8978,4.48088026761996,2.77875045479618,3.96411365644666,151.381000000001
8,"DFT-adaptive-CT (Joint)","homo_cens",0.911545089029294,0.866271409749671,0.8978,4.48088026761996,2.77875045479618,3.96411365644666,178.344000000001
9,"DFT-fixed (Joint)","homo_cens",0.908673176335439,0.840579710144927,0.888,4.15214789725499,2.70537359908986,3.71290722033206,148.603000000003
10,"Vanilla CQR (Joint)","homo_cens",0.896898334290638,0.857707509881423,0.885,4.35827904313603,2.92748176510296,3.92388898952519,0.00500000000101863
11,"Cox (Joint)","homo_cens",0.952613440551407,0.888010540184453,0.933,3.55421607762466,2.3347126055041,3.18397482348886,5.89999999999782
