"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cens_misspec",0.900631820792648,0.852437417654809,0.886,5.00604117016747,3.32923828264166,4.49696381351463,0.86699999999999
2,"DFT-adaptive-T (Subgroup)","cens_misspec",0.906375646180356,0.896574440052701,0.9034,4.86353977677893,2.85575727730462,4.25397700993853,216.692000000003
3,"DFT-adaptive-CT (Subgroup)","cens_misspec",0.906375646180356,0.896574440052701,0.9034,4.86353977677893,2.85575727730462,4.25397700993853,236.177000000003
4,"DFT-fixed (Subgroup)","cens_misspec",0.910109132682366,0.89262187088274,0.9048,4.56431946810935,2.68803184110666,3.99467854455134,209.399000000001
5,"Vanilla CQR (Subgroup)","cens_misspec",0.906950028719127,0.909090909090909,0.9076,4.55886944443683,2.56386707956999,3.95318672646326,0.0119999999988067
6,"Cox (Subgroup)","cens_misspec",0.939689833429064,0.932147562582345,0.9374,3.88054293750302,2.318903116039,3.40642908770654,9.22699999999895
7,"DFT-adaptive-T (Joint)","cens_misspec",0.887708213670304,0.870882740447958,0.8826,5.07351738158224,3.16047257541291,4.49271697842923,396.341
8,"DFT-adaptive-CT (Joint)","cens_misspec",0.887708213670304,0.870882740447958,0.8826,5.07351738158224,3.16047257541291,4.49271697842923,413.971000000005
9,"DFT-fixed (Joint)","cens_misspec",0.945433658816772,0.934123847167325,0.942,3.91400886666061,2.49453179483099,3.48305562765314,394.389999999999
10,"Vanilla CQR (Joint)","cens_misspec",0.908673176335439,0.921607378129117,0.9126,4.37878762519989,2.56247696174492,3.82735570777496,0.0199999999967986
11,"Cox (Joint)","cens_misspec",0.950603101665709,0.911067193675889,0.9386,3.74965781501663,2.45700756732761,3.35720919981825,6.35200000000259
