"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cov_cens",0.927540333993773,0.946830265848671,0.9332,4.11470227914096,2.32468279383929,3.58951056215345,0.469000000000023
2,"DFT-adaptive-T (Subgroup)","cov_cens",0.915652420039626,0.904567143830947,0.9124,4.2873990472855,2.62275512655567,3.79899252094337,158.661
3,"DFT-adaptive-CT (Subgroup)","cov_cens",0.915652420039626,0.904567143830947,0.9124,4.28736207871522,2.62275512655567,3.79896639895161,179.375
4,"DFT-fixed (Subgroup)","cov_cens",0.772997452589867,0.995228357191547,0.8382,5.27531934909515,0.192813039463611,3.78411199784926,155.028
5,"Vanilla CQR (Subgroup)","cov_cens",0.925842060571752,0.925698704839809,0.9258,3.99441879120894,2.46118887400255,3.54456913350058,0.00799999999992451
6,"Cox (Subgroup)","cov_cens",0.910274554203227,0.925698704839809,0.9148,4.00725961541482,2.25174416283249,3.49219138162717,4.52999999999997
7,"DFT-adaptive-T (Joint)","cov_cens",0.916784602320974,0.895023858214042,0.9104,4.26701882478154,2.76261701296508,3.82562733319459,206.623
8,"DFT-adaptive-CT (Joint)","cov_cens",0.916784602320974,0.895023858214042,0.9104,4.26701075602515,2.76261178897039,3.82562009909128,229.405
9,"DFT-fixed (Joint)","cov_cens",0.909708463062553,0.864349011588275,0.8964,4.19778707995901,2.80590763178701,3.78940964986534,205.866
10,"Vanilla CQR (Joint)","cov_cens",0.94027738465893,0.903885480572597,0.9296,3.8123347795238,2.48455376369813,3.42276382948055,0.0040000000000191
11,"Cox (Joint)","cov_cens",0.936314746674215,0.89161554192229,0.9232,3.65784069414187,2.5450018967702,3.33133379099303,2.99900000000002
