"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cens_misspec",0.873758865248227,0.930847457627119,0.8906,5.06619710223665,2.64940690705924,4.35324399465931,0.856999999999999
2,"DFT-adaptive-T (Subgroup)","cens_misspec",0.91177304964539,0.899661016949153,0.9082,4.53447590011658,2.91943979138121,4.05804024803965,290.212000000001
3,"DFT-adaptive-CT (Subgroup)","cens_misspec",0.91177304964539,0.899661016949153,0.9082,4.53447590011658,2.91943979138121,4.05804024803965,307.459000000001
4,"DFT-fixed (Subgroup)","cens_misspec",0.906382978723404,0.916610169491525,0.9094,4.35551362918133,2.73708563271165,3.87807737022278,285.394
5,"Vanilla CQR (Subgroup)","cens_misspec",0.898723404255319,0.915932203389831,0.9038,4.56468279251447,2.42405329395176,3.93319709043847,0.0119999999988067
6,"Cox (Subgroup)","cens_misspec",0.929645390070922,0.941694915254237,0.9332,3.88705434144922,2.24370054529639,3.40226497158413,9.79800000000068
7,"DFT-adaptive-T (Joint)","cens_misspec",0.17645390070922,0.176271186440678,0.1764,14.5557334565255,8.74983763320331,12.8429941886454,330.678
8,"DFT-adaptive-CT (Joint)","cens_misspec",0.17645390070922,0.176271186440678,0.1764,14.5557334565255,8.74983763320331,12.8429941886454,348.619000000002
9,"DFT-fixed (Joint)","cens_misspec",0.782978723404255,0.648813559322034,0.7434,4.60683262388517,3.77043003372029,4.36009385978653,328.654
10,"Vanilla CQR (Joint)","cens_misspec",0.895035460992908,0.915932203389831,0.9012,4.41445945528953,2.68072070131497,3.90300652286703,0.00600000000122236
11,"Cox (Joint)","cens_misspec",0.950070921985816,0.926779661016949,0.9432,3.7317218795783,2.428018846128,3.34712948471046,5.71399999999994
