"","method","setting","group coverage for x_1 = 0","group coverage for x_1 = 1","Marginal coverage","lower bound mean for x_1 = 0","lower bound mean for x_1 = 1","lower bound values mean","computation time"
1,"CAMS","cens_misspec",0.878280934525526,0.957599478147423,0.9026,4.907046088394,2.25763901305027,4.09473787909361,0.855000000000018
2,"DFT-adaptive-T (Subgroup)","cens_misspec",0.884338044418806,0.880626223091976,0.8832,4.83928975311326,2.79626570395572,4.21289857964156,126.316999999999
3,"DFT-adaptive-CT (Subgroup)","cens_misspec",0.884338044418806,0.880626223091976,0.8832,4.83928975311326,2.79626570395572,4.21289857964156,144.723999999998
4,"DFT-fixed (Subgroup)","cens_misspec",0.965964811075858,0.914546640574038,0.9502,3.45531342657778,2.43902732369646,3.14372010743437,123.936000000002
5,"Vanilla CQR (Subgroup)","cens_misspec",0.913469858667436,0.902152641878669,0.91,4.31723479644579,2.62564614351756,3.798593715458,0.0129999999990105
6,"Cox (Subgroup)","cens_misspec",0.935390827805019,0.931506849315068,0.9342,3.7002340236076,2.19223632659949,3.23788192970491,8.1760000000013
7,"DFT-adaptive-T (Joint)","cens_misspec",0.860974906259014,0.859752120026093,0.8606,5.15236710455407,3.03282323576245,4.50251495438256,278.286
8,"DFT-adaptive-CT (Joint)","cens_misspec",0.860974906259014,0.859752120026093,0.8606,5.15236710455407,3.03282323576245,4.50251495438256,296.967000000002
9,"DFT-fixed (Joint)","cens_misspec",0.964811075858091,0.955642530984997,0.962,3.48609996789318,2.24538962654631,3.10569817723623,276.092000000001
10,"Vanilla CQR (Joint)","cens_misspec",0.914912027689645,0.90737116764514,0.9126,4.17106192578861,2.57460437600104,3.68158804102374,0.00599999999940337
11,"Cox (Joint)","cens_misspec",0.953273723680415,0.906718851924331,0.939,3.57756723995829,2.32321421218868,3.19298260164413,5.48099999999977
